similarity;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,2,1,3],"matchScore":[1,0.36071428571428565,0.38317460317460317,1],"exact":2,"score":2.743888888888889,"order":0.75,"size":0.25};1198;strada ciprian porumbescu 6;1525;strada popescu candiano 6
{"matched":[0,2,1,4],"matchScore":[1,0.37142857142857144,0.3666666666666667,1],"exact":2,"score":2.738095238095238,"order":0.7,"size":0.2};1199;strada ciprian porumbescu 7;1617;strada robescu c f 7
{"matched":[0,2,1,4],"matchScore":[1,0.37142857142857144,0.3666666666666667,1],"exact":2,"score":2.738095238095238,"order":0.7,"size":0.2};1200;strada ciprian porumbescu 11;1621;strada robescu c f 11
{"matched":[0,2,4],"matchScore":[1,0.3666666666666667,0.45555555555555555],"exact":1,"score":1.8222222222222222,"order":0.7333333333333334,"size":0.2};1201;strada ciresoaia 150;1625;strada robescu c f 15
{"matched":[0,2,4],"matchScore":[1,0.3666666666666667,1],"exact":2,"score":2.3666666666666667,"order":0.7333333333333334,"size":0.2};1202;strada ciresului 35;1693;strada rosetti c a 35
{"matched":[0,1,2,3],"matchScore":[1,0.31666666666666665,0.46,1],"exact":2,"score":2.7766666666666664,"order":1,"size":0.25};1203;intrarea clucereasa maria 6;57;intrarea alexe marin 6
{"matched":[0,1,2,3],"matchScore":[1,0.3357142857142857,0.3194444444444444,1],"exact":2,"score":2.65515873015873,"order":1,"size":0.25};1204;strada cluceru udricani 12;1985;strada vulcanescu mircea 12
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};1205;soseaua colentina 8;499;soseaua colentina 
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};1206;soseaua colentina 37;499;soseaua colentina 
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};1207;soseaua colentina 51;499;soseaua colentina 
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};1208;strada coltei 15a;500;strada coltei 1
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};1209;strada coltei 23;501;strada coltei 2
{"matched":[0,1,2],"matchScore":[1,1,0.45555555555555555],"exact":2,"score":2.4555555555555557,"order":1,"size":0.3333333333333333};1210;strada coltei 34;518;strada coltei 34b
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};1211;strada coltei 36;502;strada coltei 3
{"matched":[0,1,3],"matchScore":[1,0.34285714285714286,1],"exact":2,"score":2.342857142857143,"order":0.7777777777777777,"size":0.25};1212;aleea compozitorilor 5;483;aleea campul mosilor 5
{"matched":[0,1,2],"matchScore":[1,0.21428571428571427,0.925],"exact":1,"score":2.1392857142857142,"order":1,"size":0.3333333333333333};1213;aleea compozitorilor 11;1283;aleea modrogan 1
{"matched":[0,1,2],"matchScore":[0.43333333333333335,0.2380952380952381,1],"exact":1,"score":1.6714285714285715,"order":1,"size":0.3333333333333333};1214;aleea compozitorilor 30;1453;calea plevnei 30
{"matched":[0,1,3],"matchScore":[1,0.3698717948717949,1],"exact":2,"score":2.369871794871795,"order":0.7777777777777777,"size":0.25};1215;strada concordiei 5;536;strada constaninescu mitrita 5
{"matched":[0,1,3],"matchScore":[1,0.37555555555555553,1],"exact":2,"score":2.3755555555555556,"order":0.7777777777777777,"size":0.25};1216;strada concordiei 11;495;strada coanda henri 11
{"matched":[0,2,-1,3],"matchScore":[1,1,0,1],"exact":3,"score":3,"order":0.7777777777777777,"size":0.25};1217;strada constantin balescu 31;1350;strada nottara constantin 31
