similarity;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};0;bulevardul aviatorilor 65;125;bulevardul aviatorilor 51-53
{"matched":[0,1,3],"matchScore":[1,0.4111111111111111,1],"exact":2,"score":2.411111111111111,"order":0.7777777777777777,"size":0.25};1;strada baniei 5;170;strada baneasa ancuta 5
{"matched":[0,3,4],"matchScore":[1,0.3541666666666667,1],"exact":2,"score":2.354166666666667,"order":0.6444444444444446,"size":0.2};2;strada baratiei 35;1693;strada rosetti c a 35
{"matched":[0,1,2,3],"matchScore":[1,0.37047619047619046,0.28703703703703703,1],"exact":2,"score":2.6575132275132276,"order":1,"size":0.25};3;strada barbu mumuleanu 11;144;strada balaban emil 11
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};4;strada blanari 21;159;strada blanari 2
{"matched":[0,1,3],"matchScore":[1,0.36071428571428565,1],"exact":2,"score":2.3607142857142858,"order":0.7777777777777777,"size":0.25};5;strada busolei 10;210;strada biserica amzei 10
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.35],"exact":4,"score":4.35,"order":0.6800000000000002,"size":0.2};6;strada c a rosetti 25;1691;strada rosetti c a 26
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};7;strada c a rosetti 44;679;strada rosetti c a 3
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};8;bulevardul carol i 17;382;bulevardul carol i 27
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};9;strada covaci 1;564;strada covaci 16
{"matched":[0,2,3],"matchScore":[1,0.37555555555555553,1],"exact":2,"score":2.3755555555555556,"order":0.7777777777777777,"size":0.25};10;strada covaci 6;1027;strada kiritescu constantin 6
{"matched":[0,2,3],"matchScore":[1,0.37555555555555553,1],"exact":2,"score":2.3755555555555556,"order":0.7777777777777777,"size":0.25};11;strada covaci 19;1349;strada nottara constantin 19
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":0.6800000000000002,"size":0.2};12;strada d i mendeleev 2;1243;strada mendeleev d i 29
{"matched":[0,1,2],"matchScore":[1,1,0.29999999999999993],"exact":2,"score":2.3,"order":1,"size":0.3333333333333333};13;calea floreasca 112;790;calea floreasca 159
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};14;strada franceza 22;822;strada franceza 2-4
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};15;strada franceza 38-42;838;strada franceza 34
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};16;strada franceza 54;822;strada franceza 2-4
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};17;strada franceza 60;844;strada franceza 62
{"matched":[0,2,3],"matchScore":[1,0.31157407407407406,1],"exact":2,"score":2.3115740740740742,"order":0.7777777777777777,"size":0.25};18;strada gabroveni 55;1521;strada popa soare 55
{"matched":[0,2,1,3],"matchScore":[1,1,0.9241666666666667,0.35],"exact":2,"score":3.274166666666667,"order":0.75,"size":0.25};19;strada gheorghe manea 15;1169;strada manu gheorghe 12
{"matched":[0,2,1,3],"matchScore":[1,1,0.37597883597883597,0.925],"exact":2,"score":3.300978835978836,"order":0.75,"size":0.25};20;bulevardul gheorghe marinescu 3;1154;bulevardul magheru gheorghe 33
{"matched":[0,1,2],"matchScore":[1,0.32142857142857145,1],"exact":2,"score":2.321428571428571,"order":1,"size":0.3333333333333333};21;strada ghiocei 25;515;strada coltei 25
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};22;strada grigore alexandrescu 78;32;strada alexandrescu grigore 28
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};23;calea grivitei 143;936;calea grivitei 123
{"matched":[0,1,2],"matchScore":[1,0.4111111111111111,1],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};24;strada halelor 5;951;strada halmeu 5
{"matched":[0,1,2],"matchScore":[1,0.4111111111111111,1],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};25;strada halelor 7;952;strada halmeu 7
{"matched":[0,2,3],"matchScore":[1,0.28095238095238095,1],"exact":2,"score":2.280952380952381,"order":0.7777777777777777,"size":0.25};26;strada halelor 13-15;212;strada biserica amzei 13-15
{"matched":[0,1,2],"matchScore":[1,0.4111111111111111,1],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};27;strada halelor 17;954;strada halmeu 17
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};28;bulevardul i c bratianu 5;1;bulevardul bratianu i c 1
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};29;strada ienachita vacarescu 36;1901;strada vacarescu ienachita 16
{"matched":[0,2,1,3],"matchScore":[1,1,0.27037037037037037,0.925],"exact":2,"score":3.1953703703703704,"order":0.75,"size":0.25};30;strada ion brezoianu 44;863;strada ghica ion 4
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":0.75,"size":0.25};31;strada ion florescu 13;796;strada florescu ion 1
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};32;bulevardul ion mihalache 68;1253;bulevardul mihalache ion 10
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.32499999999999996],"exact":3,"score":3.325,"order":0.75,"size":0.25};33;bulevardul ion mihalache 181;1253;bulevardul mihalache ion 10
{"matched":[0,2,1,3],"matchScore":[1,1,0.22380952380952382,0.42500000000000004],"exact":2,"score":2.6488095238095237,"order":0.75,"size":0.25};34;strada ion neculce 74;865;strada ghica ion 7
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};35;strada iuliu barasch 12;149;strada barasch iuliu 11
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.9555555555555555],"exact":3,"score":3.9555555555555557,"order":0.75,"size":0.25};36;bulevardul lascar catargiu 15a;396;bulevardul catargiu lascar 15
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};37;bulevardul lascar catargiu 48;401;bulevardul catargiu lascar 40
{"matched":[0,1,2],"matchScore":[1,0.4027777777777778,1],"exact":2,"score":2.4027777777777777,"order":1,"size":0.3333333333333333};38;strada lipova 24;1072;strada lipscani 24
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};39;strada lipscani 79;1050;strada lipscani 77
{"matched":[0,1,2],"matchScore":[1,0.37619047619047613,1],"exact":2,"score":2.376190476190476,"order":1,"size":0.3333333333333333};40;strada lipscani 46;1116;strada lizeanu 46
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};41;strada lipscani 38;3;strada lipscani 32
{"matched":[0,3,1,4],"matchScore":[1,1,0.3005952380952381,0.35],"exact":2,"score":2.6505952380952382,"order":0.5999999999999999,"size":0.2};42;strada louis pasteur 30;341;strada calderon jean louis 33
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};43;strada maria rosetti 55;1695;strada rosetti maria 15
{"matched":[0,3,1,4],"matchScore":[1,0.3666666666666667,1,0.925],"exact":2,"score":3.291666666666667,"order":0.5999999999999999,"size":0.2};44;strada maria rosetti 8a;1689;strada rosetti c a 8
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};45;strada mihai eminescu 17;742;strada eminescu mihai 27
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};46;strada mihai eminescu 37;742;strada eminescu mihai 27
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};47;bulevardul nicolae balcescu 25;166;bulevardul balcescu nicolae 24
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};48;strada nicolae iorga 31;1014;strada iorga nicolae 21
{"matched":[0,1,3],"matchScore":[1,0.3055555555555555,1],"exact":2,"score":2.3055555555555554,"order":0.7777777777777777,"size":0.25};49;strada occidentului 53-55;757;strada episcopul radu 53-55
{"matched":[0,3,4],"matchScore":[1,0.35185185185185186,1],"exact":2,"score":2.351851851851852,"order":0.6444444444444446,"size":0.2};50;strada paleologu 3;374;strada caragiale i l 3
{"matched":[0,2,1,3],"matchScore":[1,0.28095238095238095,0.27037037037037037,1],"exact":2,"score":2.5513227513227514,"order":0.75,"size":0.25};51;strada petre cretu 68;1118;strada logofatul udriste 6-8
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};52;strada plantelor 45;1446;strada plantelor 4
{"matched":[0,1,3],"matchScore":[1,0.36249999999999993,1],"exact":2,"score":2.3625,"order":0.7777777777777777,"size":0.25};53;strada plantelor 20;1387;strada pann anton 20
{"matched":[0,1,2],"matchScore":[1,0.38,1],"exact":2,"score":2.38,"order":1,"size":0.3333333333333333};54;strada plugarilor 46;1412;strada paris 46
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};55;strada polona 24-26;1499;strada polona 22
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.2916666666666667],"exact":3,"score":3.2916666666666665,"order":1,"size":0.25};56;strada principatele unite 38-40;1538;strada principatele unite 63
{"matched":[0,2,3],"matchScore":[1,0.3527777777777778,1],"exact":2,"score":2.352777777777778,"order":0.7777777777777777,"size":0.25};57;strada profesorilor 10;712;strada dumbrava rosie 10
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};58;bulevardul regina maria 36-38;1177;bulevardul regina maria 36-38
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};59;bulevardul regina elisabeta 21;611;bulevardul regina elisabeta 21
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};60;bulevardul regina elisabeta 47;737;bulevardul regina elisabeta 47
{"matched":[0,2,3],"matchScore":[1,0.32499999999999996,1],"exact":2,"score":2.325,"order":0.7777777777777777,"size":0.25};61;intrarea roma 3;222;intrarea biserica rasvan 3
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};62;piata romana 5;1646;piata romana 5
{"matched":[0,2,4],"matchScore":[1,0.35000000000000003,1],"exact":2,"score":2.35,"order":0.7333333333333334,"size":0.2};63;strada salcamilor 12;1622;strada robescu c f 12
{"matched":[0,1,2],"matchScore":[1,0.36153846153846153,1],"exact":2,"score":2.3615384615384616,"order":1,"size":0.3333333333333333};64;strada sapientei 3;1716;strada sarmisegetusa 3
{"matched":[0,2,3],"matchScore":[1,0.28690476190476194,1],"exact":2,"score":2.286904761904762,"order":0.7777777777777777,"size":0.25};65;strada sepcari 12-14;311;strada budisteanu constantin 12-14
{"matched":[0,1,3],"matchScore":[1,0.3817460317460317,1],"exact":2,"score":2.3817460317460317,"order":0.7777777777777777,"size":0.25};66;strada sepcari 16;24;strada alecsandri vasile 16
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.925],"exact":3,"score":3.925,"order":1,"size":0.25};67;strada sfantul elefterie 11;1751;strada sfantul elefterie 1
{"matched":[0,1,3],"matchScore":[1,1,1],"exact":3,"score":3,"order":0.7777777777777777,"size":0.25};68;strada silvestru 79;1776;strada silvestru constantin 79
{"matched":[0,1,2],"matchScore":[1,0.3300925925925926,1],"exact":2,"score":2.3300925925925924,"order":1,"size":0.3333333333333333};69;strada sperantei 27;1075;strada lipscani 27
{"matched":[0,1,2],"matchScore":[1,0.40125,1],"exact":2,"score":2.40125,"order":1,"size":0.3333333333333333};70;strada stavropoleos 8;1731;strada sevastopol 8
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,0.925],"exact":1,"score":2.8055555555555554,"order":0.8399999999999999,"size":0.2};71;soseaua stefan cel mare 33;1038;soseaua kiseleff pavel dimitrievici 3
{"matched":[0,1,2,3],"matchScore":[1,0.42222222222222217,0.25416666666666665,1],"exact":2,"score":2.676388888888889,"order":1,"size":0.25};72;strada stefan mihaileanu 11b;1814;strada stelea spatarul 11b
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};73;strada stirbei voda 17;1841;strada stirbei voda 97
{"matched":[0,2,1,3],"matchScore":[1,1,0.2833333333333333,1],"exact":3,"score":3.283333333333333,"order":0.75,"size":0.25};74;strada vasile paun 5;17;strada alecsandri vasile 5
{"matched":[0,2,1,3],"matchScore":[1,1,0.19583333333333333,1],"exact":3,"score":3.1958333333333333,"order":0.75,"size":0.25};75;strada vasile stroescu 6;18;strada alecsandri vasile 6
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};76;calea victoriei 128a;1919;calea victoriei 12
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};77;calea victoriei 33-35;1924;calea victoriei 33
{"matched":[0,1,2],"matchScore":[1,0.327020202020202,1],"exact":2,"score":2.327020202020202,"order":1,"size":0.3333333333333333};78;strada viesparilor 26;1231;strada martisor 26
{"matched":[0,1,2],"matchScore":[1,0.39451058201058203,1],"exact":2,"score":2.3945105820105823,"order":1,"size":0.3333333333333333};79;strada academiei 1;360;strada cameliei 1
{"matched":[0,2,4],"matchScore":[1,0.35185185185185186,1],"exact":2,"score":2.351851851851852,"order":0.7333333333333334,"size":0.2};80;strada academiei 15;1625;strada robescu c f 15
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};81;strada academiei 19-21;8;strada academiei 39-41
{"matched":[0,2,1,3],"matchScore":[1,1,0.15833333333333333,0.925],"exact":2,"score":3.083333333333333,"order":0.75,"size":0.25};82;strada alexandru beldiman 1;1436;strada philippide alexandru 11
{"matched":[0,2,3,1,-1],"matchScore":[0.24444444444444446,1,1,1,0],"exact":3,"score":3.2444444444444445,"order":0.6000000000000001,"size":0.2};83;bulevardul alexandru ioan cuza 9;573;strada cuza alexandru ioan 17
{"matched":[0,2,1,3],"matchScore":[1,1,0.975,1],"exact":3,"score":3.975,"order":0.75,"size":0.25};84;piata alexandru lahovari 5a;1060;piata lahovary alexandru 5a
{"matched":[0,2,1,3],"matchScore":[1,1,0.24761904761904763,1],"exact":3,"score":3.2476190476190476,"order":0.75,"size":0.25};85;strada alexandru xenopol 3;1431;strada philippide alexandru 3
{"matched":[0,1,2],"matchScore":[1,0.3698412698412698,1],"exact":2,"score":2.36984126984127,"order":1,"size":0.3333333333333333};86;strada arcului 4;87;strada armindenului 4
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};87;strada armeneasca 17a;84;strada armeneasca 10
{"matched":[0,1,3],"matchScore":[1,0.3603571428571428,1],"exact":2,"score":2.3603571428571426,"order":0.7777777777777777,"size":0.25};88;strada armeneasca 28;32;strada alexandrescu grigore 28
{"matched":[0,1,3],"matchScore":[1,0.3603571428571428,0.9555555555555555],"exact":1,"score":2.3159126984126983,"order":0.7777777777777777,"size":0.25};89;strada armeneasca 28a;32;strada alexandrescu grigore 28
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};90;strada aurel vlaicu 55;1967;strada vlaicu aurel 16
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};91;strada bacani 3-5;160;strada bacani 3
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,0.925],"exact":4,"score":4.925,"order":1,"size":0.2};92;strada baia de fier 1;135;strada baia de fier 1a
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,1],"exact":5,"score":5,"order":1,"size":0.2};93;strada baia de fier 1a;135;strada baia de fier 1a
{"matched":[0,1,2],"matchScore":[1,0.34259259259259256,1],"exact":2,"score":2.3425925925925926,"order":1,"size":0.3333333333333333};94;strada baltagului 17;1359;strada olimpului 17
{"matched":[0,1,2],"matchScore":[1,1,0.925],"exact":2,"score":2.925,"order":1,"size":0.3333333333333333};95;strada baniei 1;172;strada baniei 11
{"matched":[0,2,3],"matchScore":[1,0.4067460317460318,1],"exact":2,"score":2.4067460317460316,"order":0.7777777777777777,"size":0.25};96;strada baratiei 29;547;strada costache aristia 29
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};97;strada baratiei 37;179;strada baratiei 33
{"matched":[0,1,2],"matchScore":[1,0.32916666666666666,1],"exact":2,"score":2.3291666666666666,"order":1,"size":0.3333333333333333};98;strada baratiei 41;1411;strada paris 41
{"matched":[0,1,2],"matchScore":[1,1,0.2875],"exact":2,"score":2.2875,"order":1,"size":0.3333333333333333};99;strada baratiei 42b;180;strada baratiei 46-48
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};100;strada baratiei 44;180;strada baratiei 46-48
{"matched":[0,2,3],"matchScore":[1,0.34285714285714286,1],"exact":2,"score":2.342857142857143,"order":0.7777777777777777,"size":0.25};101;strada baratiei 50;1204;strada matei basarab 50
{"matched":[0,1,4],"matchScore":[1,0.39047619047619053,1],"exact":2,"score":2.3904761904761904,"order":0.6444444444444446,"size":0.2};102;strada batiste 5;138;strada baia de fier 5
{"matched":[0,1,2],"matchScore":[1,0.9875,1],"exact":2,"score":2.9875,"order":1,"size":0.3333333333333333};103;strada batiste 14;153;strada batistei 14
{"matched":[0,-1,2,3],"matchScore":[1,0,1,0.9555555555555555],"exact":2,"score":2.9555555555555557,"order":1,"size":0.25};104;strada bibescu voda 24;1566;strada radu voda 24a
{"matched":[0,1,2,3],"matchScore":[1,1,0.1976190476190476,1],"exact":3,"score":3.197619047619048,"order":1,"size":0.25};105;strada biserica amzei 8;219;strada biserica marcuta 8
{"matched":[0,1,2,3],"matchScore":[1,1,0.31666666666666665,1],"exact":3,"score":3.3166666666666664,"order":1,"size":0.25};106;strada biserica enei 14;213;strada biserica amzei 14
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};107;strada blanari 10;236;strada blanari 10-12
{"matched":[0,1,2],"matchScore":[1,1,0.925],"exact":2,"score":2.925,"order":1,"size":0.3333333333333333};108;strada blanari 11;230;strada blanari 1
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};109;strada blanari 13;230;strada blanari 1
{"matched":[0,1,2],"matchScore":[1,0.36500000000000005,1],"exact":2,"score":2.365,"order":1,"size":0.3333333333333333};110;strada bocsa 3;160;strada bacani 3
{"matched":[0,1,2],"matchScore":[1,0.4714285714285714,0.9325],"exact":1,"score":2.4039285714285716,"order":1,"size":0.3333333333333333};111;strada boteanu 3a-3b;245;strada botea 3-3a-3b
{"matched":[0,2,3],"matchScore":[1,0.27777777777777773,1],"exact":2,"score":2.2777777777777777,"order":0.7777777777777777,"size":0.25};112;strada brazilia 56;813;strada foisoreanu mihail 56
{"matched":[0,1,2],"matchScore":[1,1,0.9555555555555555],"exact":2,"score":2.9555555555555557,"order":1,"size":0.3333333333333333};113;strada buzesti 32a;328;strada buzesti 32
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};114;strada buzesti 48;330;strada buzesti 44
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.35],"exact":4,"score":4.35,"order":0.6800000000000002,"size":0.2};115;strada c a rosetti 27;1691;strada rosetti c a 26
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};116;strada c a rosetti 42;679;strada rosetti c a 3
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.3333333333333333],"exact":4,"score":4.333333333333333,"order":0.6800000000000002,"size":0.2};117;strada c a rosetti 43;1690;strada rosetti c a 13
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.3055555555555555],"exact":4,"score":4.305555555555555,"order":0.6800000000000002,"size":0.2};118;strada c a rosetti 43a;1690;strada rosetti c a 13
{"matched":[0,2,1,4],"matchScore":[1,0.38095238095238093,0.3777777777777777,1],"exact":2,"score":2.7587301587301587,"order":0.7,"size":0.2};119;strada caderea bastiliei 5;138;strada baia de fier 5
{"matched":[0,2,3,4],"matchScore":[1,0.34285714285714286,0.34444444444444444,1],"exact":2,"score":2.6873015873015875,"order":0.8500000000000001,"size":0.2};120;strada caderea bastiliei 16;1271;strada mircea cel batran 16
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};121;strada caimatei 18;333;strada caimatei 1
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};122;calea calarasilor 99;435;calea calarasilor 91
{"matched":[0,1,2],"matchScore":[1,0.38571428571428573,1],"exact":2,"score":2.3857142857142857,"order":1,"size":0.3333333333333333};123;strada calusei 4;503;strada coltei 4
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};124;strada cameliei 3;365;strada cameliei 30
{"matched":[0,2,3],"matchScore":[1,0.36333333333333334,1],"exact":2,"score":2.3633333333333333,"order":0.7777777777777777,"size":0.25};125;strada cameliei 4;610;strada davila carol 4
{"matched":[0,2,4],"matchScore":[1,0.36875,1],"exact":2,"score":2.36875,"order":0.7333333333333334,"size":0.2};126;strada cameliei 7;1617;strada robescu c f 7
{"matched":[0,1,2],"matchScore":[1,0.39451058201058203,1],"exact":2,"score":2.3945105820105823,"order":1,"size":0.3333333333333333};127;strada cameliei 35;6;strada academiei 3-5
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};128;bulevardul carol i 47;376;bulevardul carol i 4
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};129;bulevardul carol i 51;388;bulevardul carol i 53
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};130;bulevardul carol i 63;377;bulevardul carol i 6
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};131;bulevardul carol i 76;393;bulevardul carol i 72
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3875],"exact":3,"score":3.3875,"order":1,"size":0.25};132;bulevardul carol i 40-42;376;bulevardul carol i 4
{"matched":[0,3,4],"matchScore":[1,0.2736111111111111,0.3333333333333333],"exact":1,"score":1.6069444444444443,"order":0.6444444444444446,"size":0.2};133;soseaua chitilei 73;1032;soseaua kiseleff pavel dimitrievici 53
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};134;strada coltei 14;500;strada coltei 1
{"matched":[0,2,1,3],"matchScore":[1,1,0.32833333333333337,0.43333333333333335],"exact":2,"score":2.7616666666666667,"order":0.75,"size":0.25};135;strada constantin balacescu 12;311;strada budisteanu constantin 12-14
{"matched":[0,3,2,4],"matchScore":[1,1,0.33240740740740743,1],"exact":3,"score":3.3324074074074073,"order":0.7000000000000002,"size":0.2};136;strada constantin balacescu 28;1706;strada sandu aldea constantin 28
{"matched":[0,2,1,3],"matchScore":[1,1,0.9466666666666667,0.3875],"exact":2,"score":3.334166666666667,"order":0.75,"size":0.25};137;strada constantin mille 14-16;1256;strada miile constantin 1
{"matched":[0,2,1,3],"matchScore":[1,0.4769230769230769,0.32222222222222224,1],"exact":2,"score":2.799145299145299,"order":0.75,"size":0.25};138;strada constantintin silvestri 1;1256;strada miile constantin 1
{"matched":[0,2,1,3],"matchScore":[1,0.38333333333333336,0.22380952380952382,1],"exact":2,"score":2.607142857142857,"order":0.75,"size":0.25};139;strada costache negri 10;371;strada caracas constantin 10
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.35],"exact":4,"score":4.35,"order":0.6800000000000002,"size":0.2};140;strada d i mendeleev 26;1243;strada mendeleev d i 29
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};141;strada d i mendeleev 17;1222;strada mendeleev d i 34
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};142;bulevardul dacia 43;592;bulevardul dacia 83
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};143;bulevardul dacia 53;578;bulevardul dacia 56
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};144;bulevardul dacia 102;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};145;bulevardul dacia 37;584;bulevardul dacia 67
{"matched":[0,2,3],"matchScore":[1,0.36944444444444446,1],"exact":2,"score":2.3694444444444445,"order":0.7777777777777777,"size":0.25};146;strada dianei 2;5;strada 11 iunie 2
{"matched":[0,1,2],"matchScore":[1,0.43214285714285716,1],"exact":2,"score":2.432142857142857,"order":1,"size":0.3333333333333333};147;strada dianei 5;637;strada doamnei 5
{"matched":[0,3,2,4],"matchScore":[1,0.8607142857142857,0.34722222222222215,1],"exact":2,"score":3.207936507936508,"order":0.7000000000000002,"size":0.2};148;strada dimitrie bolintineanu 5;651;strada dobrescu i demetru 5
{"matched":[0,2,1,4],"matchScore":[1,0.36875,0.25925925925925924,1],"exact":2,"score":2.628009259259259,"order":0.7,"size":0.2};149;strada dimitrie onciul 29;1243;strada mendeleev d i 29
{"matched":[0,1,2,3],"matchScore":[1,0.33125,0.35185185185185186,1],"exact":2,"score":2.683101851851852,"order":1,"size":0.25};150;strada dimitrie salmen 28;661;strada donici alexandru 28
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};151;strada dionisie lupu 53;1145;strada lupu dionisie 37
