id_lie;cod_lmi;similarity;a_score;lie_index;lie_add;lmi_index;lmi_add;match
CS2-00025;B-II-m-B-18493;"{""matched"":[0,2,1,-1],""matchScore"":[1,0.46071428571428574,0.2569444444444444,0],""exact"":1,""score"":1.7176587301587303,""order"":0.6666666666666667,""size"":0.25}";1048.64087301587;406;strada aristide pascal 14;547;strada costache aristia 29;no
CS2-00026;B-II-m-B-18002;"{""matched"":[0,1,2],""matchScore"":[1,1,0.35],""exact"":2,""score"":2.35,""order"":1,""size"":0.3333333333333333}";110.35;407;strada armeneasca 12;84;strada armeneasca 10;no
CS2-00027;B-II-m-B-18002;"{""matched"":[0,1,-1],""matchScore"":[1,1,0],""exact"":2,""score"":2,""order"":1,""size"":0.3333333333333333}";110;408;strada armeneasca 43;84;strada armeneasca 10;no
CS2-00028;B-II-m-B-19895;"{""matched"":[0,2,1,3],""matchScore"":[1,1,1,0.3333333333333333],""exact"":3,""score"":3.3333333333333335,""order"":0.75,""size"":0.25}";1110.33333333333;409;strada aurel vlaicu 39;1968;strada vlaicu aurel 19;no
CS2-00029;B-II-m-B-19337;"{""matched"":[0,1,2],""matchScore"":[1,0.3891534391534392,1],""exact"":2,""score"":2.3891534391534393,""order"":1,""size"":0.3333333333333333}";104.891534391534;410;strada austrului 14;1392;strada parfumului 14;no
CS2-00030;B-II-m-B-17944;"{""matched"":[0,1,3],""matchScore"":[1,0.36388888888888893,1],""exact"":2,""score"":2.363888888888889,""order"":0.7777777777777777,""size"":0.25}";104.638888888889;411;strada balcesti 9;21;strada alecsandri vasile 9;no
CS2-00031;B-II-m-B-18075;"{""matched"":[0,1,2],""matchScore"":[1,0.40539682539682537,0.375],""exact"":1,""score"":1.7803968253968254,""order"":1,""size"":0.3333333333333333}";104.428968253968;412;strada baltagului 13-15;148;strada banului 3;no
CS2-00032;B-II-m-B-18075;"{""matched"":[0,1,2],""matchScore"":[1,1,0.925],""exact"":2,""score"":2.925,""order"":1,""size"":0.3333333333333333}";110.925;413;strada banului 3a;148;strada banului 3;maybe
CS2-00033;B-II-m-B-20920;"{""matched"":[0,2,3,-1],""matchScore"":[1,1,0.34259259259259256,0],""exact"":2,""score"":2.3425925925925926,""order"":0.8222222222222222,""size"":0.2}";1103.42592592593;414;strada barbu iscovescu 25;620;strada delavrancea barbu stefanescu 57;no
CS2-00034;B-II-m-A-18107;"{""matched"":[0,1,3],""matchScore"":[1,0.3277777777777778,1],""exact"":2,""score"":2.3277777777777775,""order"":0.7777777777777777,""size"":0.25}";104.277777777778;415;bulevardul basarabia 28;168;bulevardul balcescu nicolae 28;no
