similarity;a_score;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};110.29166666666667;0;bulevardul aviatorilor 65;125;bulevardul aviatorilor 51-53
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;1;strada baniei 5;171;strada baniei 3
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;2;strada baratiei 35;179;strada baratiei 33
{"matched":[0,2,3,-1],"matchScore":[1,1,0.3074074074074074,0],"exact":2,"score":2.3074074074074074,"order":0.8222222222222222,"size":0.2};1103.0740740740741;3;strada barbu mumuleanu 11;620;strada delavrancea barbu stefanescu 57
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;4;strada blanari 21;159;strada blanari 2
{"matched":[0,1,3],"matchScore":[1,0.36071428571428565,1],"exact":2,"score":2.3607142857142858,"order":0.7777777777777777,"size":0.25};104.60714285714286;5;strada busolei 10;210;strada biserica amzei 10
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.35],"exact":4,"score":4.35,"order":0.6800000000000002,"size":0.2};11110.35;6;strada c a rosetti 25;1691;strada rosetti c a 26
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};11110;7;strada c a rosetti 44;679;strada rosetti c a 3
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};1110.3333333333333;8;bulevardul carol i 17;382;bulevardul carol i 27
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;9;strada covaci 1;564;strada covaci 16
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;10;strada covaci 6;563;strada covaci 
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;11;strada covaci 19;564;strada covaci 16
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.42500000000000004],"exact":4,"score":4.425,"order":0.6800000000000002,"size":0.2};11110.425;12;strada d i mendeleev 2;1243;strada mendeleev d i 29
{"matched":[0,1,2],"matchScore":[1,1,0.29999999999999993],"exact":2,"score":2.3,"order":1,"size":0.3333333333333333};110.3;13;calea floreasca 112;790;calea floreasca 159
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;14;strada franceza 22;822;strada franceza 2-4
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;15;strada franceza 38-42;838;strada franceza 34
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;16;strada franceza 54;822;strada franceza 2-4
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;17;strada franceza 60;844;strada franceza 62
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;18;strada gabroveni 55;527;strada gabroveni 
{"matched":[0,2,1,3],"matchScore":[1,1,0.9241666666666667,0.35],"exact":2,"score":3.274166666666667,"order":0.75,"size":0.25};1109.5916666666665;19;strada gheorghe manea 15;1169;strada manu gheorghe 12
{"matched":[0,2,1,3],"matchScore":[1,1,0.37597883597883597,0.925],"exact":2,"score":3.300978835978836,"order":0.75,"size":0.25};1104.6847883597884;20;bulevardul gheorghe marinescu 3;1154;bulevardul magheru gheorghe 33
{"matched":[0,1,2],"matchScore":[1,0.32142857142857145,1],"exact":2,"score":2.321428571428571,"order":1,"size":0.3333333333333333};104.21428571428571;21;strada ghiocei 25;515;strada coltei 25
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;22;strada grigore alexandrescu 78;32;strada alexandrescu grigore 28
{"matched":[0,1,2],"matchScore":[1,1,0.39999999999999997],"exact":2,"score":2.4,"order":1,"size":0.3333333333333333};110.4;23;calea grivitei 143;936;calea grivitei 123
{"matched":[0,1,2],"matchScore":[1,0.4111111111111111,1],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};105.11111111111111;24;strada halelor 5;951;strada halmeu 5
{"matched":[0,1,2],"matchScore":[1,0.4111111111111111,1],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};105.11111111111111;25;strada halelor 7;952;strada halmeu 7
{"matched":[0,1,2],"matchScore":[1,0.4111111111111111,0.3875],"exact":1,"score":1.798611111111111,"order":1,"size":0.3333333333333333};104.49861111111112;26;strada halelor 13-15;950;strada halmeu 1
{"matched":[0,1,2],"matchScore":[1,0.4111111111111111,1],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};105.11111111111111;27;strada halelor 17;954;strada halmeu 17
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};11110;28;bulevardul i c bratianu 5;1;bulevardul bratianu i c 1
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;29;strada ienachita vacarescu 36;1901;strada vacarescu ienachita 16
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;30;strada ion brezoianu 44;294;strada brezoianu ion 1
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":0.75,"size":0.25};1110.425;31;strada ion florescu 13;796;strada florescu ion 1
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;32;bulevardul ion mihalache 68;1253;bulevardul mihalache ion 10
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.32499999999999996],"exact":3,"score":3.325,"order":0.75,"size":0.25};1110.325;33;bulevardul ion mihalache 181;1253;bulevardul mihalache ion 10
{"matched":[0,2,1,-1],"matchScore":[1,1,0.34497354497354493,0],"exact":2,"score":2.344973544973545,"order":0.6666666666666667,"size":0.25};1103.4497354497355;34;strada ion neculce 74;1263;strada minulescu ion 38
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};1110.35;35;strada iuliu barasch 12;149;strada barasch iuliu 11
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.9555555555555555],"exact":3,"score":3.9555555555555557,"order":0.75,"size":0.25};1110.9555555555555;36;bulevardul lascar catargiu 15a;396;bulevardul catargiu lascar 15
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};1110.35;37;bulevardul lascar catargiu 48;401;bulevardul catargiu lascar 40
{"matched":[0,1,2],"matchScore":[1,0.4027777777777778,1],"exact":2,"score":2.4027777777777777,"order":1,"size":0.3333333333333333};105.02777777777777;38;strada lipova 24;1072;strada lipscani 24
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;39;strada lipscani 79;1050;strada lipscani 77
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;40;strada lipscani 46;1079;strada lipscani 40
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;41;strada lipscani 38;3;strada lipscani 32
{"matched":[0,3,1,4],"matchScore":[1,1,0.3005952380952381,0.35],"exact":2,"score":2.6505952380952382,"order":0.5999999999999999,"size":0.2};1103.3559523809522;42;strada louis pasteur 30;341;strada calderon jean louis 33
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;43;strada maria rosetti 55;1695;strada rosetti maria 15
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;44;strada maria rosetti 8a;1695;strada rosetti maria 15
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;45;strada mihai eminescu 17;742;strada eminescu mihai 27
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;46;strada mihai eminescu 37;742;strada eminescu mihai 27
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":0.75,"size":0.25};1110.35;47;bulevardul nicolae balcescu 25;166;bulevardul balcescu nicolae 24
{"matched":[0,2,1,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":0.75,"size":0.25};1110.3333333333333;48;strada nicolae iorga 31;1014;strada iorga nicolae 21
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;49;strada occidentului 53-55;1352;strada occidentului 8-10
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;50;strada paleologu 3;1337;strada paleologu 12
{"matched":[0,1,-1,-1],"matchScore":[1,0.9057142857142857,0,0],"exact":1,"score":1.9057142857142857,"order":1,"size":0.3333333333333333};1090.5714285714287;51;strada petre cretu 68;1417;strada patriei 3
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;52;strada plantelor 45;1446;strada plantelor 4
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;53;strada plantelor 20;1448;strada plantelor 40
{"matched":[0,1,2],"matchScore":[1,0.38,1],"exact":2,"score":2.38,"order":1,"size":0.3333333333333333};104.8;54;strada plugarilor 46;1412;strada paris 46
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;55;strada polona 24-26;1499;strada polona 22
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.2916666666666667],"exact":3,"score":3.2916666666666665,"order":1,"size":0.25};1110.2916666666667;56;strada principatele unite 38-40;1538;strada principatele unite 63
{"matched":[0,2,3],"matchScore":[1,0.3527777777777778,1],"exact":2,"score":2.352777777777778,"order":0.7777777777777777,"size":0.25};104.52777777777777;57;strada profesorilor 10;712;strada dumbrava rosie 10
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};1111;58;bulevardul regina maria 36-38;1177;bulevardul regina maria 36-38
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};1111;59;bulevardul regina elisabeta 21;611;bulevardul regina elisabeta 21
{"matched":[0,1,2,3],"matchScore":[1,1,1,1],"exact":4,"score":4,"order":1,"size":0.25};1111;60;bulevardul regina elisabeta 47;737;bulevardul regina elisabeta 47
{"matched":[0,2,3],"matchScore":[1,0.32499999999999996,1],"exact":2,"score":2.325,"order":0.7777777777777777,"size":0.25};104.25;61;intrarea roma 3;222;intrarea biserica rasvan 3
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};111;62;piata romana 5;1646;piata romana 5
{"matched":[0,2,4],"matchScore":[1,0.35000000000000003,1],"exact":2,"score":2.35,"order":0.7333333333333334,"size":0.2};104.5;63;strada salcamilor 12;1622;strada robescu c f 12
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;64;strada sapientei 3;1712;strada sapientei 4
{"matched":[0,1,2],"matchScore":[1,0.4396825396825397,0.25],"exact":1,"score":1.6896825396825397,"order":1,"size":0.3333333333333333};104.64682539682539;65;strada sepcari 12-14;1824;strada selari 20-22
{"matched":[0,1,3],"matchScore":[1,0.3817460317460317,1],"exact":2,"score":2.3817460317460317,"order":0.7777777777777777,"size":0.25};104.81746031746032;66;strada sepcari 16;24;strada alecsandri vasile 16
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.925],"exact":3,"score":3.925,"order":1,"size":0.25};1110.925;67;strada sfantul elefterie 11;1751;strada sfantul elefterie 1
{"matched":[0,1,3],"matchScore":[1,0.9777777777777779,1],"exact":2,"score":2.977777777777778,"order":0.7777777777777777,"size":0.25};110.77777777777777;68;strada silvestru 79;1776;strada silvestri constantin 79
{"matched":[0,1,2],"matchScore":[1,1,0.2916666666666667],"exact":2,"score":2.2916666666666665,"order":1,"size":0.3333333333333333};110.29166666666667;69;strada sperantei 27;1802;strada sperantei 42-46
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;70;strada stavropoleos 8;14;strada stavropoleos 3
{"matched":[0,2,1,3,4],"matchScore":[1,0.22777777777777777,0.3194444444444444,0.3333333333333333,0.925],"exact":1,"score":2.8055555555555554,"order":0.8399999999999999,"size":0.2};10263.980555555556;71;soseaua stefan cel mare 33;1038;soseaua kiseleff pavel dimitrievici 3
{"matched":[0,2,1,-1],"matchScore":[1,1,0.23253968253968252,0],"exact":2,"score":2.2325396825396826,"order":0.6666666666666667,"size":0.25};1102.3253968253969;72;strada stefan mihaileanu 11b;1758;strada sfantul stefan 
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};1110.3333333333333;73;strada stirbei voda 17;1841;strada stirbei voda 97
{"matched":[0,2,1,3],"matchScore":[1,1,0.2833333333333333,1],"exact":3,"score":3.283333333333333,"order":0.75,"size":0.25};1103.8333333333333;74;strada vasile paun 5;17;strada alecsandri vasile 5
{"matched":[0,2,1,3],"matchScore":[1,1,0.19583333333333333,1],"exact":3,"score":3.1958333333333333,"order":0.75,"size":0.25};1102.9583333333333;75;strada vasile stroescu 6;18;strada alecsandri vasile 6
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};110.43333333333334;76;calea victoriei 128a;1919;calea victoriei 12
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};110.43333333333334;77;calea victoriei 33-35;1924;calea victoriei 33
{"matched":[0,1,2],"matchScore":[1,0.327020202020202,1],"exact":2,"score":2.327020202020202,"order":1,"size":0.3333333333333333};104.27020202020202;78;strada viesparilor 26;1231;strada martisor 26
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;79;strada academiei 1;6;strada academiei 3-5
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;80;strada academiei 15;6;strada academiei 3-5
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;81;strada academiei 19-21;8;strada academiei 39-41
{"matched":[0,2,1,3],"matchScore":[1,1,0.3125,0.42500000000000004],"exact":2,"score":2.7375,"order":0.75,"size":0.25};1103.55;82;strada alexandru beldiman 1;1651;strada romano alexandru 10
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};11110;83;bulevardul alexandru ioan cuza 9;573;bulevardul cuza alexandru ioan 17
{"matched":[0,2,1,3],"matchScore":[1,1,0.975,1],"exact":3,"score":3.975,"order":0.75,"size":0.25};1110.75;84;piata alexandru lahovari 5a;1060;piata lahovary alexandru 5a
{"matched":[0,2,1,3],"matchScore":[1,1,0.24761904761904763,1],"exact":3,"score":3.2476190476190476,"order":0.75,"size":0.25};1103.4761904761904;85;strada alexandru xenopol 3;1431;strada philippide alexandru 3
{"matched":[0,1,2],"matchScore":[1,0.3698412698412698,1],"exact":2,"score":2.36984126984127,"order":1,"size":0.3333333333333333};104.6984126984127;86;strada arcului 4;87;strada armindenului 4
{"matched":[0,1,2],"matchScore":[1,1,0.32499999999999996],"exact":2,"score":2.325,"order":1,"size":0.3333333333333333};110.325;87;strada armeneasca 17a;84;strada armeneasca 10
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;88;strada armeneasca 28;84;strada armeneasca 10
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;89;strada armeneasca 28a;84;strada armeneasca 10
{"matched":[0,2,1,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":0.6666666666666667,"size":0.25};1110;90;strada aurel vlaicu 55;1967;strada vlaicu aurel 16
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;91;strada bacani 3-5;160;strada bacani 3
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,0.925],"exact":4,"score":4.925,"order":1,"size":0.2};11110.925;92;strada baia de fier 1;135;strada baia de fier 1a
{"matched":[0,1,2,3,4],"matchScore":[1,1,1,1,1],"exact":5,"score":5,"order":1,"size":0.2};11111;93;strada baia de fier 1a;135;strada baia de fier 1a
{"matched":[0,1,2],"matchScore":[1,0.34259259259259256,1],"exact":2,"score":2.3425925925925926,"order":1,"size":0.3333333333333333};104.42592592592592;94;strada baltagului 17;1359;strada olimpului 17
{"matched":[0,1,2],"matchScore":[1,1,0.925],"exact":2,"score":2.925,"order":1,"size":0.3333333333333333};110.925;95;strada baniei 1;172;strada baniei 11
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;96;strada baratiei 29;178;strada baratiei 27
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;97;strada baratiei 37;179;strada baratiei 33
{"matched":[0,1,2],"matchScore":[1,1,0.3125],"exact":2,"score":2.3125,"order":1,"size":0.3333333333333333};110.3125;98;strada baratiei 41;180;strada baratiei 46-48
{"matched":[0,1,2],"matchScore":[1,1,0.2875],"exact":2,"score":2.2875,"order":1,"size":0.3333333333333333};110.2875;99;strada baratiei 42b;180;strada baratiei 46-48
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;100;strada baratiei 44;180;strada baratiei 46-48
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;101;strada baratiei 50;178;strada baratiei 27
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;102;strada batiste 5;152;strada batiste 13
{"matched":[0,1,2],"matchScore":[1,1,1],"exact":3,"score":3,"order":1,"size":0.3333333333333333};111;103;strada batiste 14;153;strada batiste 14
{"matched":[0,3,2,-1],"matchScore":[1,0.36309523809523814,1,0],"exact":2,"score":2.363095238095238,"order":0.5555555555555556,"size":0.25};1046.3095238095239;104;strada bibescu voda 24;1425;strada patrascu voda 3bis
{"matched":[0,1,2,-1],"matchScore":[1,1,1,0],"exact":3,"score":3,"order":1,"size":0.25};1110;105;strada biserica amzei 8;13;strada biserica amzei 22
{"matched":[0,1,2,3],"matchScore":[1,1,0.31666666666666665,1],"exact":3,"score":3.3166666666666664,"order":1,"size":0.25};1104.1666666666667;106;strada biserica enei 14;213;strada biserica amzei 14
{"matched":[0,1,2],"matchScore":[1,1,0.43333333333333335],"exact":2,"score":2.4333333333333336,"order":1,"size":0.3333333333333333};110.43333333333334;107;strada blanari 10;236;strada blanari 10-12
{"matched":[0,1,2],"matchScore":[1,1,0.925],"exact":2,"score":2.925,"order":1,"size":0.3333333333333333};110.925;108;strada blanari 11;230;strada blanari 1
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;109;strada blanari 13;230;strada blanari 1
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;110;strada bocsa 3;240;strada bocsa 2
{"matched":[0,1,2],"matchScore":[1,0.4714285714285714,0.9325],"exact":1,"score":2.4039285714285716,"order":1,"size":0.3333333333333333};105.64678571428571;111;strada boteanu 3a-3b;245;strada botea 3-3a-3b
{"matched":[0,1,-1],"matchScore":[1,0.4708333333333333,0],"exact":1,"score":1.4708333333333332,"order":1,"size":0.3333333333333333};104.70833333333333;112;strada brazilia 56;278;strada brailita 28
{"matched":[0,1,2],"matchScore":[1,1,0.9555555555555555],"exact":2,"score":2.9555555555555557,"order":1,"size":0.3333333333333333};110.95555555555555;113;strada buzesti 32a;328;strada buzesti 32
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;114;strada buzesti 48;330;strada buzesti 44
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.35],"exact":4,"score":4.35,"order":0.6800000000000002,"size":0.2};11110.35;115;strada c a rosetti 27;1691;strada rosetti c a 26
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};11110;116;strada c a rosetti 42;679;strada rosetti c a 3
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.3333333333333333],"exact":4,"score":4.333333333333333,"order":0.6800000000000002,"size":0.2};11110.333333333334;117;strada c a rosetti 43;1690;strada rosetti c a 13
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.3055555555555555],"exact":4,"score":4.305555555555555,"order":0.6800000000000002,"size":0.2};11110.305555555555;118;strada c a rosetti 43a;1690;strada rosetti c a 13
{"matched":[0,1,2,4],"matchScore":[1,0.4119047619047619,0.22685185185185186,0.42500000000000004],"exact":1,"score":2.0637566137566137,"order":0.8499999999999999,"size":0.2};1043.8839947089946;119;strada caderea bastiliei 5;343;strada calderon jean louis 50
{"matched":[0,1,2,4],"matchScore":[1,0.4119047619047619,0.22685185185185186,1],"exact":2,"score":2.6387566137566134,"order":0.8499999999999999,"size":0.2};1044.4589947089946;120;strada caderea bastiliei 16;339;strada calderon jean louis 16
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;121;strada caimatei 18;333;strada caimatei 1
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;122;calea calarasilor 99;435;calea calarasilor 91
{"matched":[0,1,2],"matchScore":[1,0.38571428571428573,1],"exact":2,"score":2.3857142857142857,"order":1,"size":0.3333333333333333};104.85714285714286;123;strada calusei 4;503;strada coltei 4
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;124;strada cameliei 3;365;strada cameliei 30
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;125;strada cameliei 4;360;strada cameliei 1
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;126;strada cameliei 7;360;strada cameliei 1
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;127;strada cameliei 35;365;strada cameliei 30
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};1110.425;128;bulevardul carol i 47;376;bulevardul carol i 4
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};1110.35;129;bulevardul carol i 51;388;bulevardul carol i 53
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};1110.425;130;bulevardul carol i 63;377;bulevardul carol i 6
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.35],"exact":3,"score":3.35,"order":1,"size":0.25};1110.35;131;bulevardul carol i 76;393;bulevardul carol i 72
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3875],"exact":3,"score":3.3875,"order":1,"size":0.25};1110.3875;132;bulevardul carol i 40-42;376;bulevardul carol i 4
{"matched":[0,1,-1],"matchScore":[1,0.3416666666666667,0],"exact":1,"score":1.3416666666666668,"order":1,"size":0.3333333333333333};103.41666666666667;133;soseaua chitilei 73;562;soseaua cotroceni 32
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;134;strada coltei 14;500;strada coltei 1
{"matched":[0,2,1,3],"matchScore":[1,1,0.32833333333333337,0.43333333333333335],"exact":2,"score":2.7616666666666667,"order":0.75,"size":0.25};1103.7166666666667;135;strada constantin balacescu 12;311;strada budisteanu constantin 12-14
{"matched":[0,3,2,4],"matchScore":[1,1,0.33240740740740743,1],"exact":3,"score":3.3324074074074073,"order":0.7000000000000002,"size":0.2};1104.3240740740741;136;strada constantin balacescu 28;1706;strada sandu aldea constantin 28
{"matched":[0,2,1,3],"matchScore":[1,1,0.9466666666666667,0.3875],"exact":2,"score":3.334166666666667,"order":0.75,"size":0.25};1109.8541666666667;137;strada constantin mille 14-16;1256;strada miile constantin 1
{"matched":[0,2,1,-1],"matchScore":[1,0.4769230769230769,1,0],"exact":2,"score":2.476923076923077,"order":0.6666666666666667,"size":0.25};1057.6923076923076;138;strada constantintin silvestri 1;1776;strada silvestri constantin 79
{"matched":[0,1,2,-1],"matchScore":[1,1,0.28095238095238095,0],"exact":2,"score":2.280952380952381,"order":1,"size":0.25};1102.8095238095239;139;strada costache negri 10;547;strada costache aristia 29
{"matched":[0,2,3,1,4],"matchScore":[1,1,1,1,0.35],"exact":4,"score":4.35,"order":0.6800000000000002,"size":0.2};11110.35;140;strada d i mendeleev 26;1243;strada mendeleev d i 29
{"matched":[0,2,3,1,-1],"matchScore":[1,1,1,1,0],"exact":4,"score":4,"order":0.6000000000000001,"size":0.2};11110;141;strada d i mendeleev 17;1222;strada mendeleev d i 34
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;142;bulevardul dacia 43;592;bulevardul dacia 83
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;143;bulevardul dacia 53;578;bulevardul dacia 56
{"matched":[0,1,2],"matchScore":[1,1,0.4111111111111111],"exact":2,"score":2.411111111111111,"order":1,"size":0.3333333333333333};110.41111111111111;144;bulevardul dacia 102;354;bulevardul dacia 101
{"matched":[0,1,2],"matchScore":[1,1,0.3333333333333333],"exact":2,"score":2.3333333333333335,"order":1,"size":0.3333333333333333};110.33333333333333;145;bulevardul dacia 37;584;bulevardul dacia 67
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;146;strada dianei 2;626;strada dianei 9
