similarity;a_score;lie_index;lie_add;lmi_index;lmi_add
{"matched":[0,1,2,3],"matchScore":[1,0.29999999999999993,0.33636363636363636,1],"exact":2,"score":2.6363636363636362,"order":1,"size":0.25};1034.3636363636363;883;aleea dragos mladinovici 7;613;aleea dealul mitropoliei 7
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.42500000000000004],"exact":3,"score":3.425,"order":1,"size":0.25};1110.425;884;strada dumbrava rosie 19;703;strada dumbrava rosie 1
{"matched":[0,1,2,3],"matchScore":[1,0.27285714285714285,0.24503968253968256,1],"exact":2,"score":2.5178968253968255,"order":1,"size":0.25};1030.736111111111;885;intrarea dumitrescu procopie 6;608;intrarea dascalu nicolae 6
{"matched":[0,1,2,3],"matchScore":[1,0.41111111111111115,0.22916666666666666,0.42500000000000004],"exact":1,"score":2.065277777777778,"order":1,"size":0.25};1043.8277777777778;886;strada elena cuza 1;1668;strada stelea spatarul 18
{"matched":[0,1,2,3],"matchScore":[1,0.41111111111111115,0.22916666666666666,1],"exact":2,"score":2.640277777777778,"order":1,"size":0.25};1044.4027777777778;887;strada elena cuza 16;1817;strada stelea spatarul 16
{"matched":[0,2,1,3],"matchScore":[1,1,0.25132275132275134,0.3333333333333333],"exact":2,"score":2.5846560846560847,"order":0.75,"size":0.25};1102.8465608465608;888;strada emanoil ionescu 21-23;1526;strada porumbaru emanoil 12
{"matched":[0,2,1,-1],"matchScore":[1,1,0.25132275132275134,0],"exact":2,"score":2.251322751322751,"order":0.6666666666666667,"size":0.25};1102.5132275132275;889;strada emanoil ionescu 35-37;1526;strada porumbaru emanoil 12
{"matched":[0,1,2,3],"matchScore":[1,1,1,0.3333333333333333],"exact":3,"score":3.3333333333333335,"order":1,"size":0.25};1110.3333333333333;890;strada episcopul radu 19;756;strada episcopul radu 29
{"matched":[0,1,2],"matchScore":[1,1,0.35],"exact":2,"score":2.35,"order":1,"size":0.3333333333333333};110.35;891;strada frumoasa 14;821;strada frumoasa 16
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;892;strada gabroveni 14;527;strada gabroveni 
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;893;strada gabroveni 27;527;strada gabroveni 
{"matched":[0,1,-1],"matchScore":[1,1,0],"exact":2,"score":2,"order":1,"size":0.3333333333333333};110;894;strada gabroveni 29;527;strada gabroveni 
{"matched":[0,2,1,4],"matchScore":[1,1,0.3028571428571429,0.42500000000000004],"exact":2,"score":2.727857142857143,"order":0.7,"size":0.2};1103.4535714285714;895;strada george murgoci 1;1279;strada mirea george demetrescu 10
{"matched":[0,2,1,-1],"matchScore":[1,1,0.3028571428571429,0],"exact":2,"score":2.302857142857143,"order":0.7333333333333334,"size":0.2};1103.0285714285715;896;strada george murgoci 5;1276;strada mirea george demetrescu 2
{"matched":[0,2,1,-1],"matchScore":[1,1,0.3028571428571429,0],"exact":2,"score":2.302857142857143,"order":0.7333333333333334,"size":0.2};1103.0285714285715;897;strada george murgoci 7;1276;strada mirea george demetrescu 2
{"matched":[0,2,3],"matchScore":[1,0.4066666666666667,1],"exact":2,"score":2.4066666666666667,"order":0.7777777777777777,"size":0.25};105.06666666666666;898;strada ghirlandei 5;633;strada doamna ghica 5
{"matched":[0,1,3],"matchScore":[1,0.4066666666666667,1],"exact":2,"score":2.4066666666666667,"order":0.7777777777777777,"size":0.25};105.06666666666666;899;strada ghirlandei 9;866;strada ghica ion 9
{"matched":[0,1,3],"matchScore":[1,0.4066666666666667,0.925],"exact":1,"score":2.331666666666667,"order":0.7777777777777777,"size":0.25};104.99166666666666;900;strada ghirlandei 9a;866;strada ghica ion 9
{"matched":[0,2,1,3],"matchScore":[1,1,0.3190476190476191,1],"exact":3,"score":3.3190476190476192,"order":0.75,"size":0.25};1104.1904761904761;901;strada grigore cobalcescu 34;997;strada ionescu grigore 34
{"matched":[0,2,1,3],"matchScore":[1,1,0.3190476190476191,0.35],"exact":2,"score":2.6690476190476193,"order":0.75,"size":0.25};1103.540476190476;902;strada grigore cobalcescu 46;998;strada ionescu grigore 40
{"matched":[0,1,2],"matchScore":[1,1,0.45555555555555555],"exact":2,"score":2.4555555555555557,"order":1,"size":0.3333333333333333};110.45555555555555;903;calea grivitei 234;896;calea grivitei 23
{"matched":[0,1,2],"matchScore":[1,1,0.42500000000000004],"exact":2,"score":2.425,"order":1,"size":0.3333333333333333};110.425;904;strada haga 10;943;strada haga 1
{"matched":[0,1,2,-1],"matchScore":[1,0.3891534391534392,0.24603174603174605,0],"exact":1,"score":1.6351851851851853,"order":1,"size":0.2};1041.3756613756614;905;strada haralambie botescu 15;374;strada caragiale ion luca 3
{"matched":[0,1,4],"matchScore":[1,0.37678571428571433,1],"exact":2,"score":2.376785714285714,"order":0.6444444444444446,"size":0.2};104.76785714285714;906;strada horatiu 5;947;strada hagi moscu maria 5
