cod_lmi#sirsup#rang#uat#siruta#localitate#sirinf#sector#adresa#strada_tip#strada_nume#strada_numar#cod_lmi_jud#cod_lmi_nat#cod_lmi_grupa#cod_lmi_val#cod_lmi_num#tip_patrimoniu#program_arhitectura#tip_monument#denumire#observatii_adresa#fotografiat#inexistent#constructie_noua#stare_monument#observatii#alte_obs#observatii_corina#datare#lat#lon
B-II-m-B-18154#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Biserica Amzei 22 sector 1#Strada#Biserica Amzei#22#B#II#m#B#18154#Patrimoniu domestic urban#Clădire cu alte funcțiuni##Imobil##DA#NU#NU#MEDIE#DEGRADAT#.##sf. sec. XIX#44.4448309155871#26.0949455855161
B-II-m-B-19727#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179169#Sector 3#Strada Stavropoleos 3 sector 3#Strada#Stavropoleos#3#B#II#m#B#19727#Patrimoniu domestic urban#Clădire cu alte funcțiuni##Imobil##DA#NU#NU#MEDIE#PUTERNIC DEGRADAT#.##sf. sec. XIX#44.4320558#26.0978946
B-II-m-B-18306#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179169#Sector 3#Strada Carada Eugeniu 1-3 sector 3#Strada#Carada Eugeniu#1-3#B#II#m#B#18306#Patrimoniu administrativ#Clădire financiar-comerț##Banca de Comerț Exterior##DA#NU#NU#BUNĂ#CONSERVAT#.##1910#44.4325966155145#26.0985761004135
B-II-m-B-17939#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 1-3 sector 1#Strada#Alecsandri Vasile#1-3#B#II#m#B#17939#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă Gh. Cantacuzino##DA#NU#NU#BUNĂ#CONSERVAT#.#Posibil sa fie doar numarul 3#1935#44.4503105040246#26.0941808781774
B-II-m-B-17940#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 5 sector 1#Strada#Alecsandri Vasile#5#B#II#m#B#17940#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#MEDIE#DEGRADAT#.##sf. sec. XIX - sec. XX#44.4504320009022#26.0941679718465
B-II-m-B-17941#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 6 sector 1#Strada#Alecsandri Vasile#6#B#II#m#B#17941#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#PRECOLAPS#PUTERNIC DEGRADAT#.##sf. sec. XIX - sec. XX#44.4503046#26.0943755
B-II-m-B-17942#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 7 sector 1#Strada#Alecsandri Vasile#7#B#II#m#B#17942#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#BUNĂ#CONSERVAT#Este la nr. 22##sf. sec. XIX - sec. XX#44.4508183439607#26.0933249601598
B-II-m-B-17943#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 8 sector 1#Strada#Alecsandri Vasile#8#B#II#m#B#17943#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#FOARTE BUNĂ#REABILITAT#.##sf. sec. XIX - sec. XX#44.4504542#26.0943708
B-II-m-B-17944#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 9 sector 1#Strada#Alecsandri Vasile#9#B#II#m#B#17944#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#BUNĂ#CONSERVAT#.##sf. sec. XIX - prima jum. sec. XX#44.4507910914278#26.0940981405784
B-II-m-B-17945#403#municipiu#BUCUREȘTI#179132#BUCUREȘTI#179141#Sector 1#Strada Alecsandri Vasile 10 sector 1#Strada#Alecsandri Vasile#10#B#II#m#B#17945#Patrimoniu domestic urban#Clădire de locuit (unifamilială, colectivă ș.a.)#Locuire civilă#Casă##DA#NU#NU#MEDIE#DEGRADAT#.##sf. sec. XIX - prima jum. sec. XX#44.4506271#26.094379
