levenshtein_distance;lie_index;lie_add;lmi_index;lmi_add
8;2451;strada ion florescu 21;796;strada florescu ion 1
6;2452;strada ivo andric 4;232;strada blanari 4
0;2453;strada lipscani 45;1083;strada lipscani 45
0;2454;strada lipscani 47;1084;strada lipscani 47
0;2455;strada lipscani 26;1074;strada lipscani 26
0;2456;strada mihai voda 13;1251;strada mihai voda 13
0;2457;strada mihai voda 15;1252;strada mihai voda 15
10;2458;strada mircea vulcanescu 12;1271;strada mircea cel batran 16
0;2459;strada parintele staniloaie 2;1420;strada parintele staniloaie 2
0;2460;strada paris 7;1400;strada paris 7
10;2461;strada radu calomfirescu 7;349;strada calomfirescu radu 7
10;2462;strada radu calomfirescu 10;351;strada calomfirescu radu 10
10;2463;strada radu calomfirescu 12;355;strada calomfirescu radu 12
5;2464;strada radu cristian 2;1843;strada teii cristian 9
5;2465;strada radu cristian 3;1843;strada teii cristian 9
0;2466;piata romana 1;1645;piata romana 1
0;2467;bulevardul schitu magureanu 19;1726;bulevardul schitu magureanu 19
0;2468;strada sfanta vineri 5;1747;strada sfanta vineri 5
0;2469;strada sfanta vineri 7;1748;strada sfanta vineri 7
0;2470;strada sfintilor 13;1770;strada sfintilor 13
11;2471;intrarea victor eftimiu 9;224;intrarea bitolia 5
0;2472;calea calarasilor 124;449;calea calarasilor 124
0;2473;calea dorobantilor 36-40;665;calea dorobantilor 36-40
0;2474;calea dorobantilor 49;667;calea dorobantilor 49
0;2475;calea dudesti 111;678;calea dudesti 111
0;2476;calea grivitei 13;894;calea grivitei 13
0;2477;calea grivitei 77;925;calea grivitei 77
9;2478;bulevardul hristo botev 3;111;bulevardul aviatorilor 3
9;2479;bulevardul hristo botev 8;113;bulevardul aviatorilor 8
0;2480;strada lizeanu 20;1107;strada lizeanu 20
0;2481;strada londra 19;1130;strada londra 19
0;2482;calea mosilor 27;1291;calea mosilor 27
12;2483;bulevardul pache protopopescu 18;1549;bulevardul protopopescu pache 18
0;2484;strada sfintii apostoli 1;1759;strada sfintii apostoli 1
0;2485;strada soarelui 3-5;1792;strada soarelui 3-5
4;2486;intrarea spatarului 3;1799;strada spatarului 3
8;2487;strada spiru haret 8;335;strada caimatei 8
10;2488;strada vasile alecsandri 5;660;strada donici alexandru 23
0;2489;strada blanari 9;235;strada blanari 9
0;2490;aleea circului 15;490;aleea circului 15
5;2491;strada ion ghica 4;632;strada doamna ghica 3
0;2492;strada olari 32;1358;strada olari 32
0;2493;strada sevastopol 8;1731;strada sevastopol 8
0;2494;calea dudesti 141;694;calea dudesti 141
0;2495;strada stavropoleos 5;1804;strada stavropoleos 5
0;2496;calea victoriei 48-50;1929;calea victoriei 48-50
9;2497;bulevardul hristo botev 9;114;bulevardul aviatorilor 9
0;2498;bulevardul dacia 72;586;bulevardul dacia 72
0;2499;strada lipscani 78;1093;strada lipscani 78
8;2500;strada alecu russo 7;1663;strada romulus 7
0;2501;strada armeneasca 10;84;strada armeneasca 10
0;2502;strada atena 22;107;strada atena 22
0;2503;bulevardul aviatorilor 5;112;bulevardul aviatorilor 5
0;2504;strada baia de fier 5;138;strada baia de fier 5
0;2505;strada baia de fier 8;140;strada baia de fier 8
0;2506;strada baniei 3;171;strada baniei 3
0;2507;strada baniei 11;172;strada baniei 11
0;2508;strada baniei 17;174;strada baniei 17
0;2509;strada burghelea 19;325;strada burghelea 19
0;2510;strada caimatei 8;335;strada caimatei 8
0;2511;strada caimatei 10;336;strada caimatei 10
0;2512;calea calarasilor 36;409;calea calarasilor 36
0;2513;calea calarasilor 57;197;calea calarasilor 57
0;2514;calea calarasilor 87;432;calea calarasilor 87
0;2515;calea calarasilor 91;435;calea calarasilor 91
0;2516;calea calarasilor 105;442;calea calarasilor 105
0;2517;calea calarasilor 111;448;calea calarasilor 111
0;2518;strada cameliei 36;367;strada cameliei 36
1;2519;bulevardul carol i 10;379;bulevardul carol i 110
0;2520;strada cavafii vechi 11;406;strada cavafii vechi 11
0;2521;strada cavafii vechi 13;407;strada cavafii vechi 13
0;2522;strada coltei 1;500;strada coltei 1
0;2523;strada coltei 2;501;strada coltei 2
0;2524;strada coltei 4;503;strada coltei 4
0;2525;strada coltei 5;504;strada coltei 5
0;2526;strada coltei 7;506;strada coltei 7
0;2527;strada coltei 9;508;strada coltei 9
0;2528;strada coltei 21;512;strada coltei 21
0;2529;strada coltei 22;513;strada coltei 22
0;2530;strada coltei 25;515;strada coltei 25
0;2531;strada coltei 26;516;strada coltei 26
0;2532;strada coltei 38;519;strada coltei 38
0;2533;strada coltei 46;523;strada coltei 46
0;2534;aleea dealul mitropoliei 7;613;aleea dealul mitropoliei 7
11;2535;strada dimitrie orbescu 12;714;strada dumbrava rosie 12
10;2536;strada dionisie lupu 74;1150;strada lupu dionisie 74
0;2537;strada doamnei 1;542;strada doamnei 1
0;2538;strada doamnei 21;646;strada doamnei 21
0;2539;strada doamnei 23;648;strada doamnei 23
0;2540;strada domnita anastasia 11;659;strada domnita anastasia 11
0;2541;calea dudesti 139;692;calea dudesti 139
0;2542;strada dumbrava rosie 5;707;strada dumbrava rosie 5
0;2543;strada dumbrava rosie 16;716;strada dumbrava rosie 16
0;2544;strada eforiei 2;718;strada eforiei 2
0;2545;strada franceza 12;825;strada franceza 12
0;2546;strada franceza 13;826;strada franceza 13
0;2547;strada franceza 16;828;strada franceza 16
0;2548;strada franceza 17;829;strada franceza 17
0;2549;strada franceza 18;830;strada franceza 18
0;2550;strada franceza 34;838;strada franceza 34
0;2551;strada frumoasa 33;848;strada frumoasa 33
0;2552;strada frumoasa 47;851;strada frumoasa 47
11;2553;strada gheorghe bratianu 26;859;strada georgescu mihail 20
8;2554;strada gheorghe manu 12;1611;strada raureanu 12
0;2555;calea grivitei 23;896;calea grivitei 23
0;2556;calea grivitei 36;902;calea grivitei 36
0;2557;calea grivitei 36;902;calea grivitei 36
0;2558;calea grivitei 50;911;calea grivitei 50
0;2559;calea grivitei 123;936;calea grivitei 123
0;2560;calea grivitei 127;938;calea grivitei 127
0;2561;calea grivitei 129;939;calea grivitei 129
0;2562;calea grivitei 131;940;calea grivitei 131
10;2563;bulevardul hristo botev 2;68;bulevardul aviatorilor 7
10;2564;bulevardul hristo botev 4;68;bulevardul aviatorilor 7
9;2565;bulevardul hristo botev 7;68;bulevardul aviatorilor 7
10;2566;bulevardul hristo botev 22;118;bulevardul aviatorilor 24
9;2567;bulevardul hristo botev 24;118;bulevardul aviatorilor 24
10;2568;bulevardul hristo botev 26;117;bulevardul aviatorilor 16
9;2569;bulevardul hristo botev 27;869;bulevardul ghica tei 77
10;2570;bulevardul hristo botev 29;114;bulevardul aviatorilor 9
10;2571;bulevardul hristo botev 34;111;bulevardul aviatorilor 3
10;2572;bulevardul hristo botev 44;118;bulevardul aviatorilor 24
0;2573;strada icoanei 57;973;strada icoanei 57
8;2574;strada ion campineanu 2;479;strada campineanu ion 2
8;2575;strada ion florescu 8;798;strada florescu ion 8
8;2576;strada ion florescu 17;803;strada florescu ion 17
13;2577;strada jean louis calderon 50;226;strada blank louis 9a
0;2578;strada lipscani 28;1076;strada lipscani 28
0;2579;strada lipscani 52;1086;strada lipscani 52
0;2580;strada lipscani 54;1087;strada lipscani 54
0;2581;strada lipscani 66;1089;strada lipscani 66
0;2582;strada lipscani 72;1090;strada lipscani 72
0;2583;strada lipscani 80;1094;strada lipscani 80
0;2584;strada lizeanu 22-24;1109;strada lizeanu 22-24
0;2585;strada mantuleasa 34;1242;strada mantuleasa 34
0;2586;strada mantuleasa 33;1241;strada mantuleasa 33
8;2587;strada maria rosetti 15;1157;strada maica domnului 15
8;2588;strada maria rosetti 36;151;strada barierei 39
0;2589;strada matei voievod 35;1217;strada matei voievod 35
0;2590;strada mihai voda 5;1247;strada mihai voda 5
0;2591;strada mihai voda 7;1248;strada mihai voda 7
0;2592;strada mihai voda 9;1249;strada mihai voda 9
0;2593;strada mihai voda 11;1250;strada mihai voda 11
11;2594;strada mircea vulcanescu 39;1271;strada mircea cel batran 16
0;2595;calea mosilor 23;1289;calea mosilor 23
0;2596;calea mosilor 25;1290;calea mosilor 25
0;2597;calea mosilor 38;1295;calea mosilor 38
0;2598;calea mosilor 44;1297;calea mosilor 44
0;2599;strada sfintilor 11;1768;strada sfintilor 11
0;2600;strada smardan 5;1786;strada smardan 5
0;2601;strada stavropoleos 3;14;strada stavropoleos 3
0;2602;calea victoriei 26;1441;calea victoriei 26
0;2603;calea victoriei 91-93;1931;calea victoriei 91-93
0;2604;calea victoriei 115;1935;calea victoriei 115
0;2605;strada coltei 44;522;strada coltei 44
0;2606;strada covaci 16;564;strada covaci 16
0;2607;strada coltei 16;509;strada coltei 16
0;2608;bulevardul dacia 85;594;bulevardul dacia 85
0;2609;strada franceza 11;824;strada franceza 11
0;2610;strada lipscani 55;1088;strada lipscani 55
0;2611;strada lipscani 77;1050;strada lipscani 77
0;2612;strada lipscani 40;1079;strada lipscani 40
0;2613;strada lipscani 76;1092;strada lipscani 76
0;2614;calea mosilor 21;1288;calea mosilor 21
13;2615;bulevardul nicolae balcescu 24;263;bulevardul botev hristo 24
12;2616;bulevardul pache protopopescu 51;1550;bulevardul protopopescu pache 51
0;2617;calea mosilor 46;1298;calea mosilor 46
0;2618;calea mosilor 74;1301;calea mosilor 74
0;2619;calea mosilor 82;1305;calea mosilor 82
0;2620;calea mosilor 90;1309;calea mosilor 90
0;2621;calea mosilor 92;1310;calea mosilor 92
0;2622;calea mosilor 122;1311;calea mosilor 122
0;2623;calea mosilor 134-134a;1314;calea mosilor 134-134a
0;2624;calea mosilor 136-138;1316;calea mosilor 136-138
0;2625;strada negustori 10;1331;strada negustori 10
0;2626;strada negustori 14;1333;strada negustori 14
10;2627;strada nicolae turnescu 1;1724;strada scarlatescu 51
0;2628;strada patriei 3;1417;strada patriei 3
18;2629;soseaua pavel dimitrievici kiseleff 35-37;1049;soseaua kiseleff pavel dimitrievici 35-37
0;2630;calea plevnei 40;1454;calea plevnei 40
0;2631;calea plevnei 54;1456;calea plevnei 54
10;2632;strada radu calomfirescu 1;344;strada calomfirescu radu 1
10;2633;strada radu calomfirescu 3;345;strada calomfirescu radu 3
10;2634;strada radu calomfirescu 11;344;strada calomfirescu radu 1
0;2635;strada romulus 2;1661;strada romulus 2
0;2636;strada romulus 79;1685;strada romulus 79
0;2637;strada sfintilor 9;1767;strada sfintilor 9
